PRKAR2B	2.62013233321447
STPG1	2.56468663364274
ACSM3	2.51898747992156
CASP10	2.35811629386223
AC004381.6	2.28057033657595
MAD1L1	2.25673736396127
DHX33	2.20334455461684
LAS1L	2.15152626342727
POLDIP2	2.10683309647969
SEMA3F	1.94372189110325
SLC4A1	1.76940688716794
UPF1	1.64549161051985
ZMYND10	1.6340502389174
GCLC	1.5418979663936
WDR54	1.53810741606769
NIPAL3	1.49681094416038
FAM214B	1.4142145412085
ST7	1.23770922244461
HCCS	1.22276292116926
MSL3	1.13227674841626
TSPAN6	0.950579570092707
CYP26B1	0.944331006840758
LASP1	0.858010941495619
FUCA2	0.767141568874263
CCDC109B	0.715269558370685
LAP3	0.668447689302013
CREBBP	0.635248098396254
KDM1A	0.616719629961506
COPZ2	0.531443486107847
HSPB6	0.523533414936302
CD99	0.486353076408171
PRSS22	0.455338721381128
FGR	0.365081275645043
AK2	0.362189720975028
MYH16	0.351473507587984
POLR2J	0.333901297182741
TMEM176A	0.326664569882547
ALS2	0.316339168496712
CDC27	0.308274724113339
ABCB5	0.25440075097959
BZRAP1	0.246018654703395
WNT16	0.238931410034306
CALCR	0.163369977537037
KLHL13	0.157492334842008
MEOX1	0.116155818697223
CFH	0.0332677473059215
M6PR	0.0308279598978139
CAMKK1	0.00749120705211944
CYP51A1	-0.00441177040487959
CFLAR	-0.00634435708561634
MTMR7	-0.0107967849893334
SNX11	-0.0348667444711002
ARF5	-0.136177393900982
HOXA11	-0.157578178387605
ARHGAP33	-0.200881704586523
BAD	-0.222044269433642
ARX	-0.258920021045905
RAD52	-0.288264790274307
NDUFAB1	-0.297628361204144
C1orf112	-0.317199399054393
CFTR	-0.404735707173065
DVL2	-0.458995415958469
RBM5	-0.470968434400576
CIAPIN1	-0.495771005952396
KRIT1	-0.499732450132287
SLC22A16	-0.573042362704719
CROT	-0.634376010140209
SCYL3	-0.652527766091256
MPO	-0.669820887337285
SARM1	-0.690770415792724
SLC25A13	-0.852349425201565
LIG3	-0.895692166432732
DPM1	-1.03295995195646
RBM6	-1.39253263487094
CD38	-1.43913046301439
RECQL	-1.53955556155984
NFYA	-1.67887005213752
NDUFAF7	-1.69726646370923
SKAP2	-1.70149267431394
SLC7A2	-1.71800549047091
CCDC132	-1.94821298969061
PON1	-2.12085602658298
GCFC2	-2.15324057859975
RPAP3	-2.19573775471709
TFPI	-2.24606898056163
ANKIB1	-2.36666094979085
FKBP4	-3.35357944268644
